Episode: 1: [-0.00099999 -0.00099999 -0.00099999 -0.00099999  0.00099999] 
Episode: 401: [ 0.0303209   0.03000101  0.02187276  0.01222187 -0.02423224] 
Episode: 411: [ 0.02595976  0.02512887  0.01668852  0.00670838 -0.01899064] 
Episode: 421: [ 0.02293207  0.02246367  0.01266975  0.00249166 -0.0153067 ] 
Episode: 431: [ 0.02270555  0.02234454  0.01075301 -0.0004277  -0.01388039] 
Episode: 441: [ 0.02504586  0.02342203  0.00993751 -0.00287234 -0.01386087] 
Episode: 451: [ 0.02319685  0.02150389  0.00868176 -0.00356929 -0.01232562] 
Episode: 461: [ 0.01881357  0.01731072  0.00555059 -0.00622856 -0.00848291] 
Episode: 471: [ 0.01325088  0.01214078  0.001531   -0.00971604 -0.00363227] 
Episode: 481: [ 0.01641769  0.01520499  0.00476948 -0.00673235 -0.00692642] 
Episode: 491: [ 0.0185969   0.01738753  0.00688694 -0.00458322 -0.00921013] 
Episode: 501: [ 0.01903823  0.01764001  0.00695178 -0.00439024 -0.00946597] 
Episode: 511: [ 0.01893166  0.01737151  0.0065851  -0.00467142 -0.00919829] 
Episode: 521: [ 0.01825478  0.0165017   0.00550273 -0.00582592 -0.00819949] 
Episode: 531: [ 0.01780074  0.01589902  0.00467786 -0.00690666 -0.0074153 ] 
Episode: 541: [ 0.01617358  0.0135976   0.00158524 -0.0109909  -0.00446139] 
Episode: 551: [ 0.01437223  0.01139705 -0.00090582 -0.01398932 -0.00194319] 
Episode: 561: [ 0.01412019  0.0110433  -0.00153195 -0.01485739 -0.00138252] 
Episode: 571: [ 0.01572581  0.01370295  0.00139084 -0.0123021  -0.00394412] 
Episode: 581: [ 0.01682822  0.01554659  0.00359677 -0.01014408 -0.00587088] 
Episode: 591: [ 0.01850366  0.01768443  0.0059476  -0.00776789 -0.00812155] 
Episode: 601: [ 0.01933461  0.01866915  0.00705598 -0.00658592 -0.00920505] 
Episode: 611: [ 0.0199989   0.01921078  0.00747593 -0.00618937 -0.00973554] 
Episode: 621: [ 0.02014002  0.0193082   0.00746323 -0.00628684 -0.00976648] 
Episode: 631: [ 0.0203863   0.01938247  0.00763431 -0.00605306 -0.00995949] 
Episode: 641: [ 0.01781746  0.01641105  0.00447912 -0.00902711 -0.00689428] 
Episode: 651: [ 0.01790778  0.01646634  0.00452705 -0.00861787 -0.00706017] 
Episode: 661: [ 0.01841772  0.01702494  0.0051634  -0.00778241 -0.00773271] 
Episode: 671: [ 0.01937732  0.01803579  0.00622937 -0.0067461  -0.0088029 ] 
Episode: 681: [ 0.02061203  0.01942986  0.00762351 -0.00563808 -0.01014541] 
Episode: 691: [ 0.02068262  0.01944409  0.00766776 -0.00573915 -0.01014996] 
Episode: 701: [ 0.02066312  0.01948036  0.00768556 -0.00580792 -0.01013908] 
Episode: 711: [ 0.02083699  0.01952809  0.00762726 -0.00600199 -0.01012691] 
Episode: 721: [ 0.02054148  0.01926313  0.00737562 -0.00615675 -0.00987516] 
Episode: 731: [ 0.02055072  0.019242    0.00748257 -0.0055211  -0.01007915] 
Episode: 741: [ 0.02249636  0.02167538  0.00999172 -0.00307419 -0.01252967] 
Episode: 751: [ 0.02412068  0.02351548  0.01185498 -0.00131836 -0.01438692] 
Episode: 761: [ 0.0248216   0.02408718  0.01250581 -0.00043412 -0.01512892] 
Episode: 771: [ 0.02538347  0.02432979  0.01285538  0.0002699  -0.01562418] 
Episode: 781: [ 0.0253395   0.02418095  0.01282133  0.00051255 -0.01563482] 
Episode: 791: [ 0.02492925  0.02375987  0.01247051  0.00030696 -0.01527419] 
Episode: 801: [ 0.02499907  0.02376641  0.01244707  0.00027875 -0.01528017] 
Episode: 811: [ 0.02601293  0.02470903  0.01353461  0.00151107 -0.01640672] 
Episode: 821: [ 0.02605275  0.02475007  0.01377556  0.00202501 -0.01663365] 
Episode: 831: [ 0.02699966  0.02591182  0.01532416  0.00391929 -0.01810232] 
Episode: 841: [ 0.02715661  0.02620829  0.01603911  0.00491143 -0.01867919] 
Episode: 851: [ 0.02730574  0.02660223  0.01700542  0.00668778 -0.01956467] 
Episode: 861: [ 0.02777851  0.02735011  0.01769009  0.00739597 -0.02025103] 
Episode: 871: [ 0.02739003  0.02720338  0.01750674  0.00732136 -0.02004504] 
Episode: 881: [ 0.02732434  0.02732567  0.01771712  0.00775987 -0.02023603] 
Episode: 891: [ 0.02781624  0.02743368  0.01738268  0.00721196 -0.02015268] 
Episode: 901: [ 0.02944415  0.02894354  0.01879309  0.00871431 -0.0217421 ] 
Episode: 911: [ 0.0302809   0.02968242  0.01955219  0.00961222 -0.02259355] 
Episode: 921: [ 0.03076596  0.03013044  0.02001045  0.00993677 -0.02304084] 
Episode: 931: [ 0.03090607  0.0303193   0.02022077  0.01006113 -0.02321345] 
Episode: 941: [ 0.0306142   0.03011264  0.0200243   0.00993473 -0.02299982] 
Episode: 951: [ 0.03105457  0.03108831  0.02161075  0.01221184 -0.02441146] 
Episode: 961: [ 0.03072239  0.03100068  0.02195961  0.01287375 -0.02458028] 
Episode: 971: [ 0.02856704  0.02848848  0.01918045  0.01054689 -0.02202047] 
Episode: 981: [ 0.02839142  0.02852492  0.01915793  0.01072807 -0.02203032] 
Episode: 991: [ 0.02874258  0.02931108  0.02023505  0.01208325 -0.02297916] 
Episode: 1001: [ 0.02961401  0.03046574  0.02134686  0.0131582  -0.02408448] 
Episode: 1011: [ 0.0301817   0.03064241  0.02130578  0.01291672 -0.0241966 ] 
Episode: 1021: [ 0.02971521  0.0300723   0.02057826  0.01202041 -0.02349184] 
Episode: 1031: [ 0.03010198  0.03053714  0.02131463  0.01238598 -0.02399977] 
Episode: 1041: [ 0.0316021   0.03219666  0.02307761  0.01374596 -0.02564127] 
Episode: 1051: [ 0.03330132  0.03346346  0.02299983  0.01187064 -0.02582897] 
Episode: 1061: [ 0.0338763   0.03377389  0.02239116  0.00995398 -0.02534192] 
Episode: 1071: [ 0.03441783  0.03446073  0.02286702  0.01020504 -0.02584711] 
Episode: 1081: [ 0.03566609  0.0362914   0.02457351  0.01191652 -0.02755783] 
Episode: 1091: [ 0.03702958  0.0380735   0.0263861   0.01370757 -0.02933578] 
Episode: 1101: [ 0.03728117  0.03876208  0.02744367  0.01502747 -0.03022586] 
Episode: 1111: [ 0.03312423  0.03320878  0.01996471  0.00653707 -0.0233115 ] 
Episode: 1121: [ 0.02978093  0.02908334  0.01551032  0.00225882 -0.01902699] 
Episode: 1131: [ 0.03006019  0.02902846  0.01535591  0.00233252 -0.01906415] 
Episode: 1141: [ 0.03102413  0.0294446   0.01554702  0.00229945 -0.01943754] 
Episode: 1151: [ 0.03092317  0.0297114   0.015935    0.00246385 -0.01962877] 
Episode: 1161: [ 0.03073867  0.03012608  0.0169136   0.00353277 -0.02026773] 
Episode: 1171: [ 0.03083583  0.03050671  0.01755378  0.00411863 -0.02072997] 
Episode: 1181: [ 0.03055231  0.03030775  0.01761525  0.00432835 -0.02069366] 
Episode: 1191: [ 0.03061764  0.03034173  0.01740119  0.00397115 -0.02055231] 
Episode: 1201: [ 0.03099068  0.03070996  0.01733923  0.00363105 -0.02061128] 
Episode: 1211: [ 0.03138312  0.03099316  0.01733905  0.00349928 -0.02073445] 
Episode: 1221: [ 0.03217402  0.03141756  0.01724405  0.00307454 -0.02087401] 
Episode: 1231: [ 0.03283641  0.03172503  0.01703496  0.00254769 -0.0208933 ] 
Episode: 1241: [ 0.03319038  0.03167838  0.0166984   0.00212015 -0.02074932] 
Episode: 1251: [ 0.03412546  0.03257138  0.01770053  0.00345193 -0.02186121] 
Episode: 1261: [ 0.03485008  0.03368398  0.01880119  0.00445814 -0.02290121] 
Episode: 1271: [ 0.03586879  0.03475494  0.01977356  0.00507216 -0.02384849] 
Episode: 1281: [ 0.03757574  0.03685709  0.02184191  0.00664059 -0.02578978] 
Episode: 1291: [ 0.0385283   0.0380136   0.0230204   0.0076133  -0.02690526] 
Episode: 1301: [ 0.03995964  0.03926574  0.02404013  0.00832856 -0.02804025] 
Episode: 1311: [ 0.04174003  0.04043696  0.02440368  0.00793224 -0.02872929] 
Episode: 1321: [ 0.04223552  0.04041261  0.0235991   0.00655071 -0.02820913] 
Episode: 1331: [ 0.04363689  0.04070652  0.0222092   0.00425034 -0.02754569] 
Episode: 1341: [ 0.04787152  0.04455936  0.02531563  0.00645439 -0.03099527] 
Episode: 1351: [ 0.04732777  0.04421778  0.02499602  0.00607623 -0.03057734] 
Episode: 1361: [ 0.04705152  0.04356907  0.02333446  0.00399786 -0.02926972] 
Episode: 1371: [ 0.04669446  0.04304044  0.02221397  0.00269301 -0.0283553 ] 
Episode: 1381: [ 0.04685254  0.04311164  0.02205025  0.00234805 -0.02825979] 
Episode: 1391: [ 0.04757774  0.04351475  0.02228429  0.00254484 -0.0286541 ] 
Episode: 1401: [ 0.04953031  0.04581348  0.02489626  0.0053094  -0.03122507] 
Episode: 1411: [ 0.05201226  0.04824284  0.02703214  0.00731307 -0.03359146] 
Episode: 1421: [ 0.05435302  0.05027323  0.02835596  0.00798116 -0.03519848] 
Episode: 1431: [ 0.05664172  0.05204123  0.02934529  0.0083485  -0.03654866] 
Episode: 1441: [ 0.05338162  0.04844029  0.02586918  0.00527954 -0.03302979] 
Episode: 1451: [ 0.05174345  0.04633439  0.02313473  0.00230686 -0.03048357] 
Episode: 1461: [ 0.05219435  0.04666029  0.02273325  0.00170679 -0.03037783] 
Episode: 1471: [ 0.05070492  0.04515505  0.02084146 -0.00012209 -0.02859036] 
Episode: 1481: [ 0.05007508  0.04508123  0.02095934  0.00046163 -0.02863557] 
Episode: 1491: [ 0.04924807  0.044897    0.02100845  0.00079723 -0.02851085] 
Episode: 1501: [ 0.04991777  0.04572745  0.02188465  0.00186413 -0.02943481] 
Episode: 1511: [ 0.04881705  0.04480547  0.02129147  0.00153094 -0.0286888 ] 
Episode: 1521: [ 0.05122553  0.04695629  0.02263453  0.00216387 -0.03033468] 
Episode: 1531: [ 0.05515876  0.05042377  0.02528402  0.00423768 -0.03345731] 
Episode: 1541: [ 0.05685175  0.05202785  0.02650233  0.00513816 -0.0348511 ] 
Episode: 1551: [ 0.05724133  0.05282198  0.02773807  0.00676963 -0.03596961] 
Episode: 1561: [ 0.05593247  0.05201564  0.02740374  0.00711168 -0.03548   ] 
Episode: 1571: [ 0.05619156  0.05224871  0.0273309   0.00699648 -0.03554402] 
Episode: 1581: [ 0.0560943   0.05219353  0.02705994  0.00665587 -0.03533022] 
Episode: 1591: [ 0.05632239  0.05262149  0.02764756  0.00750688 -0.03590804] 
Episode: 1601: [ 0.0563046   0.05245567  0.02734076  0.00763925 -0.03582523] 
Episode: 1611: [ 0.0559934   0.05203858  0.02677163  0.00721499 -0.03536824] 
Episode: 1621: [ 0.05501214  0.05104902  0.02586667  0.00646306 -0.03442076] 
Episode: 1631: [ 0.0579142   0.0538352   0.02794082  0.00747471 -0.0366549 ] 
Episode: 1641: [ 0.05943675  0.05532702  0.02913079  0.00820633 -0.0379236 ] 
Episode: 1651: [ 0.06014341  0.05607331  0.02991697  0.00901359 -0.03873285] 
Episode: 1661: [ 0.05889268  0.05511965  0.02933098  0.00884252 -0.03799192] 
Episode: 1671: [ 0.05752822  0.05347629  0.02766162  0.00752853 -0.03641647] 
Episode: 1681: [ 0.0577924   0.05335896  0.0276142   0.00792679 -0.03656454] 
Episode: 1691: [ 0.05811054  0.05328213  0.02749909  0.00802961 -0.03662501] 
Episode: 1701: [ 0.05955811  0.05435491  0.02830891  0.0086904  -0.03765348] 
Episode: 1711: [ 0.05996216  0.0547711   0.02892872  0.00947948 -0.03826145] 
Episode: 1721: [ 0.06031691  0.05487312  0.02885792  0.00935324 -0.0383139 ] 
Episode: 1731: [ 0.06076519  0.05474576  0.02849797  0.00900945 -0.03818954] 
Episode: 1741: [ 0.06209952  0.05573566  0.02909048  0.00955096 -0.03907684] 
Episode: 1751: [ 0.06213259  0.05590552  0.02903647  0.00934561 -0.0390477 ] 
Episode: 1761: [ 0.06029024  0.05445165  0.02717671  0.00673475 -0.03694529] 
Episode: 1771: [ 0.05948819  0.05350777  0.02570342  0.00511509 -0.03562988] 
Episode: 1781: [ 0.05767474  0.05239116  0.02539108  0.00543637 -0.03493889] 
Episode: 1791: [ 0.05569477  0.05105216  0.02506827  0.00576036 -0.03415147] 
Episode: 1801: [ 0.052823    0.05069204  0.02804248  0.01042442 -0.03570768] 
Episode: 1811: [ 0.05170546  0.05113962  0.03059895  0.01408699 -0.03743627] 
Episode: 1821: [ 0.05113967  0.05088973  0.03094343  0.01470963 -0.03753756] 
Episode: 1831: [ 0.04982888  0.04959883  0.02935192  0.01274241 -0.03583755] 
Episode: 1841: [ 0.04864582  0.04826998  0.0275188   0.01045288 -0.0339871 ] 
Episode: 1851: [ 0.04798076  0.04804735  0.02764473  0.01068158 -0.03388278] 
Episode: 1861: [ 0.04758942  0.04816486  0.02854061  0.01198798 -0.03448888] 
Episode: 1871: [ 0.0486384   0.04925357  0.02957606  0.0130115  -0.03561838] 
Episode: 1881: [ 0.05018413  0.05082492  0.03076093  0.01388705 -0.0369737 ] 
Episode: 1891: [ 0.05112168  0.05163984  0.0312703   0.01415249 -0.03761889] 
Episode: 1901: [ 0.05019968  0.05055092  0.030224    0.01318404 -0.03653594] 
Episode: 1911: [ 0.04957769  0.05014259  0.03008157  0.013147   -0.03623747] 
Episode: 1921: [ 0.049228    0.04972387  0.02971342  0.01264431 -0.03578806] 
Episode: 1931: [ 0.04900296  0.04922685  0.02909014  0.01189603 -0.03520098] 
Episode: 1941: [ 0.04862209  0.04871082  0.02836665  0.01093834 -0.03447647] 
Episode: 1951: [ 0.05065461  0.05044086  0.02928261  0.01120646 -0.03571698] 
Episode: 1961: [ 0.05327147  0.05295274  0.03149506  0.01316304 -0.03818456] 
Episode: 1971: [ 0.05396381  0.05358427  0.03213712  0.01385662 -0.0389021 ] 
Episode: 1981: [ 0.05460072  0.05453368  0.03329275  0.01517463 -0.04002343] 
Episode: 1991: [ 0.05415365  0.05410083  0.03305503  0.01513062 -0.03973339] 
Episode: 2001: [ 0.05374676  0.05381352  0.03278492  0.01490379 -0.03941962] 
Episode: 2011: [ 0.05327639  0.0533721   0.03244298  0.01465024 -0.03902555] 
Episode: 2021: [ 0.0515026   0.05164668  0.03119964  0.01404369 -0.0376518 ] 
Episode: 2031: [ 0.05221749  0.05257328  0.03228256  0.01549291 -0.03880872] 
Episode: 2041: [ 0.05415345  0.05461728  0.03397956  0.01710239 -0.04074595] 
Episode: 2051: [ 0.05335543  0.05436605  0.03391113  0.01704275 -0.04045399] 
Episode: 2061: [ 0.05356447  0.05467949  0.03421122  0.01690966 -0.04061567] 
Episode: 2071: [ 0.05492336  0.05647249  0.03600379  0.01833634 -0.04231754] 
Episode: 2081: [ 0.05693774  0.05858319  0.03790669  0.02000277 -0.04436268] 
Episode: 2091: [ 0.05838771  0.06009869  0.03928539  0.021177   -0.04582778] 
Episode: 2101: [ 0.06051716  0.06099252  0.03826421  0.01906609 -0.04559863] 
Episode: 2111: [ 0.06167837  0.06145852  0.03753186  0.01757737 -0.04531134] 
Episode: 2121: [ 0.06136943  0.06114253  0.03719573  0.0172743  -0.04497179] 
Episode: 2131: [ 0.06103975  0.06103187  0.03740193  0.01773999 -0.04507216] 
Episode: 2141: [ 0.05951843  0.05957324  0.03619314  0.01672123 -0.04369685] 
Episode: 2151: [ 0.06020876  0.0603117   0.03668283  0.01695155 -0.04424758] 
Episode: 2161: [ 0.06116701  0.06112114  0.03710692  0.0172402  -0.0448827 ] 
